60
500	500
58	32
104	62
156	63
223	22
279	32
335	32
410	55
457	26
33	97
115	99
155	103
214	108
280	91
345	93
419	106
462	111
41	141
89	168
166	156
236	159
277	148
339	151
395	170
470	166
43	210
81	221
153	222
232	228
287	234
335	203
386	222
462	203
25	284
80	268
171	270
210	269
259	303
316	290
392	290
455	254
49	328
114	334
158	324
228	346
282	336
344	342
415	342
466	321
53	381
115	378
164	392
210	402
271	417
325	397
410	414
471	401
20	454
79	444
152	457
204	453
269	466
334	454
404	472
453	480
61	231
106	476
432	176
292	111
114	263
83	49
277	48
416	395
170	191
361	396
84	348
