60
0	500
25	14
75	16
151	14
204	35
239	41
308	18
348	38
393	22
465	22
39	83
82	80
143	77
190	78
251	94
293	74
359	92
418	78
460	85
28	129
79	126
151	129
207	138
247	151
299	143
370	143
424	132
469	146
29	188
80	184
142	205
187	182
261	199
311	188
349	188
430	185
473	186
18	261
82	257
133	262
205	255
253	255
301	260
348	257
428	255
458	243
34	317
80	309
150	299
196	299
242	310
307	295
366	293
423	308
475	315
37	364
92	363
152	366
192	373
244	357
298	350
356	348
407	370
471	349
28	427
92	426
135	407
193	420
239	424
296	417
348	423
423	441
469	407
16	470
87	459
148	471
207	473
248	471
313	463
388	478
422	471
471	462
130	97
158	395
409	406
401	88
54	411
220	456
443	22
477	279
133	15
