60
0	500
16	24
79	17
133	36
181	30
221	37
286	27
321	27
382	29
424	26
484	36
22	74
63	77
137	84
164	73
223	77
265	63
315	62
364	85
413	80
467	76
15	119
78	136
113	130
178	115
233	125
265	116
324	114
364	126
416	126
486	132
28	172
75	166
125	170
174	186
227	173
275	164
331	185
372	177
436	174
483	169
31	234
80	226
135	219
175	213
233	226
276	225
327	218
377	232
422	236
468	220
28	264
85	267
128	281
170	266
216	284
277	278
335	284
378	264
422	265
472	268
23	323
77	335
125	314
171	319
212	336
263	323
314	328
369	332
427	326
478	336
31	381
72	378
134	367
170	380
216	374
276	374
335	366
377	381
428	379
468	383
33	422
84	421
127	430
182	436
233	415
275	414
327	423
380	428
425	433
467	421
36	482
82	483
134	475
180	484
217	469
285	476
330	482
385	468
430	472
478	479
