60
500	500
26	23
68	18
115	14
185	36
237	35
283	12
331	15
381	28
434	20
471	25
34	69
86	72
137	80
184	66
217	83
279	78
316	74
385	83
435	67
465	65
20	114
85	128
122	130
186	113
231	127
270	137
325	133
376	117
418	115
464	125
14	186
81	163
120	170
186	172
229	185
272	176
322	181
386	169
424	168
470	168
17	236
64	219
120	217
186	233
220	237
286	232
313	222
362	216
434	219
472	227
14	262
85	264
127	267
173	276
217	268
278	270
317	262
381	265
436	282
487	275
23	324
77	336
127	334
179	312
219	319
271	329
333	334
383	320
421	315
477	334
23	381
81	380
116	387
167	386
221	385
270	367
327	371
377	386
423	365
477	363
34	426
86	416
136	426
166	431
219	434
273	428
335	414
363	418
417	430
481	427
33	478
85	481
121	464
170	462
230	484
279	480
318	470
384	463
431	469
463	468
