60
500	500
37	29
89	36
133	23
189	29
245	36
316	28
339	29
411	14
432	10
37	86
86	69
138	76
194	94
245	90
312	94
347	78
420	89
476	62
41	151
91	132
143	152
184	146
257	145
313	141
366	135
418	138
459	151
39	189
78	197
148	203
202	196
253	196
305	185
371	184
416	190
458	199
36	259
79	259
127	259
184	256
262	261
305	279
367	253
421	237
463	245
31	293
81	296
130	297
184	293
243	318
311	308
372	304
415	292
462	312
40	352
83	349
143	363
198	373
246	369
303	356
359	358
407	362
459	358
25	426
87	418
144	410
193	406
241	417
293	416
370	408
428	403
468	416
29	461
83	459
141	471
199	468
250	481
296	481
355	462
429	471
467	475
216	229
156	307
325	441
338	227
340	256
408	249
288	248
16	404
422	59
