60
0	0
18	28
68	27
132	33
168	13
230	33
286	29
324	15
371	22
425	34
467	34
24	85
80	70
118	70
178	64
224	67
281	82
337	80
365	78
433	70
477	63
14	134
64	124
126	116
166	112
225	126
264	114
331	128
366	114
434	135
477	135
22	180
71	163
136	184
165	167
219	183
263	164
320	174
384	170
417	162
481	177
36	218
79	214
130	222
186	214
224	235
273	217
322	235
374	234
415	212
467	217
35	271
69	269
113	273
171	277
217	273
280	266
316	269
381	272
421	270
466	286
19	333
72	317
128	314
164	315
234	323
284	334
322	337
370	322
433	329
471	318
30	364
79	375
124	369
181	365
215	362
278	366
313	366
364	371
434	379
482	367
26	435
76	435
119	421
274	415
327	416
365	414
425	431
477	415
21	475
70	463
118	480
281	478
322	478
375	473
436	482
463	471
203	426
243	453
193	478
158	404
