60
0	0
33	26
110	25
152	31
207	26
258	20
347	38
396	19
454	24
13	168
77	106
147	92
237	100
258	72
302	81
433	72
463	101
22	220
89	135
144	150
219	154
290	132
348	150
403	171
456	157
38	247
86	223
162	205
233	228
281	212
354	222
397	215
460	211
45	293
111	273
167	276
255	282
308	276
353	290
407	289
468	267
31	342
98	340
155	344
192	344
270	344
327	335
422	340
480	348
17	413
96	403
157	401
233	420
292	397
336	407
388	420
468	402
45	465
106	465
191	479
245	468
295	455
366	469
419	473
466	454
83	452
154	64
147	477
312	41
217	296
296	162
479	317
61	166
30	77
186	193
393	98
