60
0	0
37	18
95	23
128	36
199	35
259	13
310	33
352	19
424	31
466	30
27	85
71	86
144	91
193	97
250	77
317	84
365	88
410	80
483	85
21	138
90	150
131	150
183	146
245	128
302	139
365	132
427	134
474	134
16	189
87	182
134	207
188	203
238	184
292	184
371	187
422	197
467	188
35	245
79	252
143	243
199	252
261	262
317	243
369	252
425	244
471	263
37	315
86	300
142	317
199	294
238	318
309	293
362	312
403	301
473	307
40	374
79	370
133	349
206	357
242	348
301	361
359	367
407	372
470	371
34	403
96	426
141	410
194	422
245	419
311	407
362	418
423	409
459	425
27	476
69	480
125	464
204	474
253	463
309	468
363	478
428	476
481	485
165	385
163	221
152	475
119	339
167	26
442	10
192	62
250	299
26	438
